variant,transform,n,rows_dropped,rows_floored,mae,median_absolute_error,rmse,r2,r2_ci_low,r2_ci_high,pearson_r,spearman_rho,mean_error_bias,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,truth_sd,prediction_sd,sd_ratio
A_HEADLINE_NATIVE,identity (uL/min/mg),366,0,0,125.65485121319529,34.224615478515624,254.59442762424672,-0.15552153955254067,-0.21715998040446263,-0.10816909092980821,0.4277648401520986,0.445858350262893,-111.64041866358839,0.03709363481234864,0.02915360759008199,0.046373043635687804,236.84262792205968,20.53781218908518,0.0867150156594436
V1_LOG10_POSITIVE_PAIRS,"log10(x), strictly positive pairs only",363,3,0,0.43894197244249417,0.36598940081090725,0.5449338554200922,0.004637602092988691,-0.09404288403494941,0.08827751668667286,0.43315876983939094,0.43984542719024833,-0.2334265645244951,0.17952715128563843,0.14099096254261623,0.21985221026687493,0.5462018607006965,0.22637903444704488,0.41446038678197455
V2_ASINH,asinh(x / 1),366,0,0,1.0513695265802856,0.8499096714663923,1.3684150517993936,-0.18588402206948906,-0.48822316851481506,0.021807683208062804,0.3419491664738773,0.445858350262893,-0.582501475401237,0.21832796034856436,0.16046321437036284,0.2880441678406022,1.2565990692526579,0.8023143164666725,0.6384807502235667
V3_LOG10_FLOORED,"log10(max(x, 10))",366,0,12,0.4325796562324827,0.36181707262483975,0.5395446669247984,0.023234054409196903,-0.08024806723552691,0.1053022998900399,0.4501282853805723,0.44568508424661607,-0.22874880083840154,0.1748305300544479,0.13921333637692063,0.20990296593905874,0.5459239522623914,0.21203771689832224,0.38840156402664855
